frame_no,time,size_px-hotpink,px,py,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,ox,oy,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,yx,yy,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,128.6,,,,,,,,,,30,34,133,,,,,,,,,,,,,,,
1,128.6,,,,,,,,,,32,34,135,,,,,,,,,,,,,,,
2,236.1,,,,,,,,,,30,34,134,,,,,,,,,,,,,,,
3,260.1,,,,,,,,,,30,34,133,,,,,,,,,,,,,,,
4,277,6,655,627,,,,,,,,,,,,,,,,7,426,431,,,,,,
5,285.7,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
6,304.6,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
7,304.6,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
8,324.9,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
9,324.9,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
10,353.2,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
11,387.2,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
12,419.5,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
13,453.3,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
14,485.2,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
15,518,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
16,553.4,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
17,585.8,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
18,619.5,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
19,653.2,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
20,717.3,6,655,627,,,,,,,,,,,,,,,,8,427,432,,,,,,
21,755.8,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
22,785.2,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
23,817.5,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
24,853.3,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
25,885.3,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
26,917.3,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
27,952.7,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
28,985.1,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
29,1019.4,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
30,1052.9,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
31,1085.3,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
32,1117.1,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
33,1184.7,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
34,1217.4,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
35,1253.2,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
36,1285.3,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
37,1317.5,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
38,1353.2,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
39,1385,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
40,1416.9,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
41,1452.8,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
42,1486,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
43,1517.8,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
44,1552.8,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
45,1585.2,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
46,1618.5,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
47,1684.7,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
48,1717.6,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
49,1759.4,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
50,1785.9,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
51,1817.2,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
52,1853.1,6,655,627,,,,,,,,,,,,,,,,8,427,431,,,,,,
53,1885.2,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
54,1917.1,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
55,1984.8,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
56,2019.4,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
57,2053,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
58,2084.9,6,655,627,,,,,,,,,,,,,,,,8,426,431,,,,,,
