frame_no,time,size_px-green,gx,gy,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,137.7,,,,,,,,,,49,301,1001,,,,,,
1,137.7,,,,,,,,,,42,39,132,,,,,,
2,257.7,,,,,,,,,,52,997,1012,,,,,,
3,280.4,,,,,,,,,,47,1091,644,,,,,,
4,305,7,352,0,,,,,,,,,,,,,,,
5,305,6,350,0,,,,,,,,,,,,,,,
6,327.5,5,351,0,,,,,,,,,,,,,,,
7,337.1,6,349,0,,,,,,,,,,,,,,,
8,346.3,5,350,0,,,,,,,,,,,,,,,
9,346.3,5,349,0,,,,,,,,,,,,,,,
10,388.6,6,349,0,,,,,,,,,,,,,,,
11,421.8,7,350,0,,,,,,,,,,,,,,,
12,452.3,7,350,0,,,,,,,,,,,,,,,
13,484.3,7,350,0,,,,,,,,,,,,,,,
14,516.3,7,351,0,,,,,,,,,,,,,,,
16,584.5,6,349,0,,,,,,,,,,,,,,,
17,617.6,6,349,0,,,,,,,,,,,,,,,
18,653.6,6,348,0,,,,,,,,,,,,,,,
20,719.4,7,350,0,,,,,,,,,,,,,,,
22,784.5,6,348,0,,,,,,,,,,,,,,,
25,884.6,5,352,0,,,,,,,,,,,,,,,
26,984.3,7,350,0,,,,,,,,,,,,,,,
27,1018.3,6,350,0,,,,,,,,,,,,,,,
28,1053.5,5,352,0,,,,,,,,,,,,,,,
29,1092.9,5,349,0,,,,,,,,,,,,,,,
30,1116.7,6,350,0,,,,,,,,,,,,,,,
31,1152.8,5,349,0,,,,,,,,,,,,,,,
32,1184.6,6,348,0,,,,,,,,,,,,,,,
33,1216.1,5,348,0,,,,,,,,,,,,,,,
34,1252.2,7,350,0,,,,,,,,,,,,,,,
35,1285.5,7,349,0,,,,,,,,,,,,,,,
36,1316.3,5,348,0,,,,,,,,,,,,,,,
37,1352.2,6,349,0,,,,,,,,,,,,,,,
38,1384.3,5,348,0,,,,,,,,,,,,,,,
40,1453.5,7,349,0,,,,,,,,,,,,,,,
44,1584.1,6,351,0,,,,,,,,,,,,,,,
46,1652,7,349,0,,,,,,,,,,,,,,,
47,1684.1,5,349,0,,,,,,,,,,,,,,,
48,1716.9,5,351,0,,,,,,,,,,,,,,,
49,1752,6,349,0,,,,,,,,,,,,,,,
50,1786.6,7,350,0,,,,,,,,,,,,,,,
52,1851.9,5,804,25,,,,,,,,,,,,,,,
53,1884.1,5,806,26,,,,,,,,,,,,,,,
54,1916.3,5,347,0,,,,,,,,,,,,,,,
55,1951.9,6,348,0,,,,,,,,,,,,,,,
57,2023.6,5,349,0,,,,,,,,,,,,,,,
59,2084.1,6,349,0,,,,,,,,,,,,,,,
60,2116.4,5,348,0,,,,,,,,,,,,,,,
61,2152.1,8,348,0,,,,,,,,,,,,,,,
62,2187.3,5,346,0,,,,,,,,,,,,,,,
63,2223.4,7,350,0,,,,,,,,,,,,,,,
65,2284.3,5,351,0,,,,,,,,,,,,,,,
67,2352.1,5,353,0,,,,,,,,,,,,,,,
69,2417.4,5,348,0,,,,,,,,,,,,,,,
70,2452.5,7,349,0,,,,,,,,,,,,,,,
71,2484.4,5,348,0,,,,,,,,,,,,,,,
72,2516.7,5,351,0,,,,,,,,,,,,,,,
73,2552.2,5,348,0,,,,,,,,,,,,,,,
75,2616.4,7,351,0,,,,,,,,,,,,,,,
76,2652.5,5,349,0,,,,,,,,,,,,,,,
77,2684.4,6,350,0,,,,,,,,,,,,,,,
81,2820,7,695,921,,,,,,,,,,,,,,,
82,2852,7,694,923,,,,,,,,,,,,,,,
83,2884,7,694,925,,,,,,,,,,,,,,,
84,2916.1,8,694,926,,,,,,,,,,,,,,,
85,2952.2,8,694,928,,,,,,,,,,,,,,,
86,2984.3,8,694,929,,,,,,,,,,,,,,,
87,3016.3,8,694,929,,,,,,,,,,,,,,,
88,3052.8,8,694,930,,,,,,,,,,,,,,,
89,3084.5,8,695,930,,,,,,,,,,,,,,,
90,3116.5,8,695,931,,,,,,,,,,,,,,,
91,3152.4,8,695,931,,,,,,,,,,,,,,,
92,3216.1,8,695,932,,,,,,,,,,,,,,,
93,3252.2,8,695,932,,,,,,,,,,,,,,,
94,3284.4,8,695,932,,,,,,,,,,,,,,,
95,3352,8,695,932,,,,,,,,,,,,,,,
96,3384.4,8,695,932,,,,,,,,,,,,,,,
97,3416.2,8,695,932,,,,,,,,,,,,,,,
98,3452.2,8,695,932,,,,,,,,,,,,,,,
99,3484.1,8,695,932,,,,,,,,,,,,,,,
100,3516.1,8,695,932,,,,,,,,,,,,,,,
101,3552,8,695,932,,,,,,,,,,,,,,,
102,3584.3,8,695,932,,,,,,,,,,,,,,,
103,3616.4,8,695,932,,,,,,,,,,,,,,,
104,3651.9,8,695,932,,,,,,,,,,,,,,,
105,3684.1,8,695,932,,,,,,,,,,,,,,,
106,3716.3,8,695,932,,,,,,,,,,,,,,,
107,3752.2,8,695,932,,,,,,,,,,,,,,,
108,3784.6,8,695,932,,,,,,,,,,,,,,,
109,3816.8,8,695,932,,,,,,,,,,,,,,,
110,3852.2,8,695,933,,,,,,,,,,,,,,,
111,3887.9,8,695,933,,,,,,,,,,,,,,,
112,3916.5,8,695,934,,,,,,,,,,,,,,,
113,3952.2,8,696,935,,,,,,,,,,,,,,,
114,3984.1,8,696,935,,,,,,,,,,,,,,,
115,4016.5,8,696,936,,,,,,,,,,,,,,,
116,4052.4,8,695,936,,,,,,,,,,,,,,,
117,4084.7,8,696,937,,,,,,,,,,,,,,,
118,4118.5,8,695,937,,,,,,,,,,,,,,,
119,4152.3,8,695,937,,,,,,,,,,,,,,,
120,4184.7,8,695,938,,,,,,,,,,,,,,,
121,4252,8,695,938,,,,,,,,,,,,,,,
122,4284,8,695,937,,,,,,,,,,,,,,,
123,4327.7,8,694,934,,,,,,,,,,,,,,,
124,4353.9,9,694,928,,,,,,,,,,,,,,,
125,4384.6,9,693,919,,,,,,,,,,,,,,,
126,4419,11,693,904,,,,,,,,,,,,,,,
127,4452.3,12,693,882,,,,,,,,,,,,,,,
128,4484.2,14,692,854,,,,,,,,,,,,,,,
129,4519.1,13,689,824,,,,,,,,,,,,,,,
130,4552.5,12,687,794,,,,,,,,,,,,,,,
131,4584.4,13,686,765,,,,,,,,,,,,,,,
132,4651.8,13,682,709,,,,,,,,,,,,,,,
133,4684.6,12,680,682,,,,,,,,,,,,,,,
134,4722.3,12,679,656,,,,,,,,,,,,,,,
135,4756,11,677,630,,,,,,,,,,,,,,,
136,4787.2,11,675,605,,,,,,,,,,,,,,,
137,4823.9,11,673,581,,,,,,,,,,,,,,,
