frame_no,time,size_px-green,gx,gy,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,124.8,,,,,,,,,,42,38,132,,,,,,
1,124.8,,,,,,,,,,32,779,1035,,,,,,
2,229.7,,,,,,,,,,35,780,1034,,,,,,
3,251.8,,,,,,,,,,39,783,1036,,,,,,
4,271.8,8,650,946,,,,,,,,,,,,,,,
5,285.2,8,650,946,,,,,,,,,,,,,,,
6,302.3,8,650,946,,,,,,,,,,,,,,,
7,311.8,8,649,947,,,,,,,,,,,,,,,
8,320.7,8,649,947,,,,,,,,,,,,,,,
9,329.4,8,649,946,,,,,,,,,,,,,,,
10,349.3,8,649,946,,,,,,,,,,,,,,,
11,384.8,8,649,947,,,,,,,,,,,,,,,
12,417.6,8,649,947,,,,,,,,,,,,,,,
13,451.1,8,649,947,,,,,,,,,,,,,,,
14,481.2,8,649,947,,,,,,,,,,,,,,,
15,513.5,8,649,947,,,,,,,,,,,,,,,
16,557,8,649,947,,,,,,,,,,,,,,,
17,584.5,8,649,947,,,,,,,,,,,,,,,
18,614,8,649,947,,,,,,,,,,,,,,,
19,650.2,8,649,947,,,,,,,,,,,,,,,
20,682,8,649,947,,,,,,,,,,,,,,,
21,713.9,8,649,947,,,,,,,,,,,,,,,
22,749.5,8,649,947,,,,,,,,,,,,,,,
23,781.8,8,649,947,,,,,,,,,,,,,,,
24,813.7,8,649,947,,,,,,,,,,,,,,,
25,856.5,8,649,947,,,,,,,,,,,,,,,
26,881.3,8,649,948,,,,,,,,,,,,,,,
27,913.8,8,649,948,,,,,,,,,,,,,,,
28,949.2,8,649,948,,,,,,,,,,,,,,,
29,983.1,8,649,948,,,,,,,,,,,,,,,
30,1013.6,8,649,948,,,,,,,,,,,,,,,
31,1049.1,8,649,948,,,,,,,,,,,,,,,
32,1081.7,8,649,949,,,,,,,,,,,,,,,
33,1114.7,8,649,949,,,,,,,,,,,,,,,
34,1180.9,8,649,949,,,,,,,,,,,,,,,
35,1216.8,8,648,949,,,,,,,,,,,,,,,
36,1250.4,8,648,949,,,,,,,,,,,,,,,
37,1281.4,8,648,948,,,,,,,,,,,,,,,
38,1313.3,8,647,945,,,,,,,,,,,,,,,
39,1349.3,10,647,936,,,,,,,,,,,,,,,
40,1384.6,13,647,918,,,,,,,,,,,,,,,
41,1413.7,13,647,891,,,,,,,,,,,,,,,
42,1449,13,646,863,,,,,,,,,,,,,,,
43,1484.5,12,644,835,,,,,,,,,,,,,,,
44,1513.5,13,643,809,,,,,,,,,,,,,,,
45,1549,13,641,782,,,,,,,,,,,,,,,
46,1581.3,12,640,756,,,,,,,,,,,,,,,
47,1613.9,12,639,731,,,,,,,,,,,,,,,
48,1652.2,12,637,707,,,,,,,,,,,,,,,
49,1684.5,11,636,683,,,,,,,,,,,,,,,
50,1713.3,11,634,660,,,,,,,,,,,,,,,
51,1749.4,11,632,639,,,,,,,,,,,,,,,
52,1781.1,10,631,617,,,,,,,,,,,,,,,
53,1813.2,10,629,596,,,,,,,,,,,,,,,
54,1849.3,10,628,576,,,,,,,,,,,,,,,
55,1882,9,625,556,,,,,,,,,,,,,,,
56,1949.1,10,622,520,,,,,,,,,,,,,,,
57,1981.2,10,621,503,,,,,,,,,,,,,,,
58,2013.3,9,620,486,,,,,,,,,,,,,,,
59,2048.9,10,616,471,,,,,,,,,,,,,,,
60,2081.2,10,616,455,,,,,,,,,,,,,,,
61,2123,10,614,441,,,,,,,,,,,,,,,
62,2149,9,612,427,,,,,,,,,,,,,,,
63,2181.1,10,610,414,,,,,,,,,,,,,,,
64,2213.2,9,607,402,,,,,,,,,,,,,,,
65,2250.9,9,606,390,,,,,,,,,,,,,,,
66,2281.1,9,603,379,,,,,,,,,,,,,,,
67,2313.4,9,601,369,,,,,,,,,,,,,,,
68,2349.3,9,600,359,,,,,,,,,,,,,,,
69,2381.2,9,598,351,,,,,,,,,,,,,,,
70,2413.3,9,595,343,,,,,,,,,,,,,,,
71,2449.3,9,593,335,,,,,,,,,,,,,,,
72,2481.1,9,591,329,,,,,,,,,,,,,,,
73,2513.6,9,588,323,,,,,,,,,,,,,,,
74,2549.3,9,586,318,,,,,,,,,,,,,,,
75,2581.3,9,583,314,,,,,,,,,,,,,,,
76,2613.4,8,581,310,,,,,,,,,,,,,,,
77,2649.3,8,578,308,,,,,,,,,,,,,,,
78,2681.4,9,576,306,,,,,,,,,,,,,,,
79,2714.9,8,573,304,,,,,,,,,,,,,,,
80,2749.4,8,570,304,,,,,,,,,,,,,,,
81,2781.3,8,567,304,,,,,,,,,,,,,,,
82,2849,8,562,308,,,,,,,,,,,,,,,
83,2881.3,8,559,310,,,,,,,,,,,,,,,
84,2913.5,9,556,314,,,,,,,,,,,,,,,
85,2949,9,553,318,,,,,,,,,,,,,,,
86,2982.3,9,551,323,,,,,,,,,,,,,,,
87,3013.4,9,548,329,,,,,,,,,,,,,,,
88,3049,9,545,335,,,,,,,,,,,,,,,
89,3081.4,9,542,342,,,,,,,,,,,,,,,
90,3113.4,9,539,351,,,,,,,,,,,,,,,
91,3149.3,9,536,360,,,,,,,,,,,,,,,
92,3181.9,9,533,369,,,,,,,,,,,,,,,
93,3213.9,9,530,379,,,,,,,,,,,,,,,
94,3252.1,9,527,391,,,,,,,,,,,,,,,
95,3281.7,9,524,402,,,,,,,,,,,,,,,
96,3313.3,9,521,415,,,,,,,,,,,,,,,
97,3349.1,10,517,427,,,,,,,,,,,,,,,
98,3381.4,9,514,441,,,,,,,,,,,,,,,
99,3413.2,10,511,456,,,,,,,,,,,,,,,
100,3481.1,9,505,487,,,,,,,,,,,,,,,
101,3513.4,9,502,503,,,,,,,,,,,,,,,
102,3549.7,10,499,521,,,,,,,,,,,,,,,
103,3581.1,9,496,538,,,,,,,,,,,,,,,
104,3613.7,10,493,557,,,,,,,,,,,,,,,
105,3649.5,9,489,576,,,,,,,,,,,,,,,
106,3681.2,10,485,596,,,,,,,,,,,,,,,
107,3713.5,10,483,617,,,,,,,,,,,,,,,
108,3749,10,479,638,,,,,,,,,,,,,,,
