frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.8,,,,,,,,,,,,,,,,,,,31,34,133,,,,,,,,,,,,,,,
1,130.8,,,,,,,,,,,,,,,,,,,31,34,133,,,,,,,,,,,,,,,
2,214.1,,,,,,,,,,,,,,,,,,,32,34,132,,,,,,,,,,,,,,,
3,235.6,7,733,742,,,,,,,8,572,739,,,,,,,,,,,,,,,,7,571,905,,,,,,
4,266.8,7,733,742,,,,,,,8,572,739,,,,,,,,,,,,,,,,8,571,905,,,,,,
5,283.3,7,734,743,,,,,,,8,573,740,,,,,,,,,,,,,,,,8,571,905,,,,,,
6,294.6,7,735,743,,,,,,,8,574,740,,,,,,,,,,,,,,,,7,572,906,,,,,,
7,315.6,7,735,743,,,,,,,8,574,740,,,,,,,,,,,,,,,,8,572,905,,,,,,
8,347.2,7,736,743,,,,,,,8,574,740,,,,,,,,,,,,,,,,8,573,905,,,,,,
9,387.7,7,737,744,,,,,,,8,575,740,,,,,,,,,,,,,,,,8,573,905,,,,,,
10,416.7,7,738,745,,,,,,,8,576,740,,,,,,,,,,,,,,,,8,574,906,,,,,,
11,448.5,7,738,744,,,,,,,8,576,740,,,,,,,,,,,,,,,,8,575,906,,,,,,
12,482.7,7,738,742,,,,,,,8,577,740,,,,,,,,,,,,,,,,8,575,905,,,,,,
13,514.9,7,737,741,,,,,,,8,576,739,,,,,,,,,,,,,,,,8,576,905,,,,,,
14,547.1,7,737,739,,,,,,,8,575,739,,,,,,,,,,,,,,,,7,577,905,,,,,,
15,584.1,7,737,738,,,,,,,8,575,739,,,,,,,,,,,,,,,,8,578,905,,,,,,
16,615.2,7,736,736,,,,,,,8,575,739,,,,,,,,,,,,,,,,8,579,904,,,,,,
17,652.7,7,735,735,,,,,,,8,574,739,,,,,,,,,,,,,,,,8,580,904,,,,,,
18,682.4,7,734,733,,,,,,,8,573,739,,,,,,,,,,,,,,,,8,580,903,,,,,,
19,714.9,7,732,732,,,,,,,8,571,737,,,,,,,,,,,,,,,,8,579,902,,,,,,
20,746.7,7,730,730,,,,,,,8,569,736,,,,,,,,,,,,,,,,8,577,901,,,,,,
21,782.6,7,727,729,,,,,,,8,566,736,,,,,,,,,,,,,,,,8,576,902,,,,,,
22,814.8,7,726,729,,,,,,,8,565,737,,,,,,,,,,,,,,,,8,575,902,,,,,,
